,Date,Year,Country_1,Country_2,Score_1,Score_2,Competition,Location,Elo_Score_Change_1,Elo_Score_Change_2,Elo_Score_New_1,Elo_Score_New_2,Rank_Change_1,Rank_Change_2,Rank_New_1,Rank_New_2
168,May 26,2018,China,Myanmar,1,0,Friendly,in China,1,-1,1520,1068,0,0,77,182
169,May 26,2018,Saint Barthélemy,Sint Maarten,5,3,Friendly,in Saint Barthélemy,18,-18,730,868,1,0,215,203
170,May 27,2018,Niger,Central African Republic,3,3,Friendly tournament,in Niger,-4,4,1291,1316,-1,4,135,126
171,May 27,2018,Burkina Faso,Cameroon,1,0,Friendly,in France,12,-12,1597,1645,1,-2,64,51
172,May 27,2018,Madagascar,Mozambique,2,1,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,18,-18,1376,1297,3,-5,116,133
173,May 27,2018,Comoros,Seychelles,1,1,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,-6,6,1041,951,-1,4,186,193
174,May 28,2018,Mauritius,Malawi,1,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,32,-32,1107,1278,7,-9,174,139
175,May 28,2018,Botswana,Angola,2,1,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,19,-19,1297,1240,7,-8,132,152
176,May 28,2018,United States,Bolivia,3,0,Friendly,in the United States,9,-9,1764,1673,1,0,25,47
177,May 28,2018,Turkey,Iran,2,1,Friendly,in Turkey,9,-9,1729,1787,4,-1,34,21
178,May 28,2018,South Korea,Honduras,2,0,Friendly,in South Korea,6,-6,1751,1604,3,-2,27,59
179,May 28,2018,Portugal,Tunisia,2,2,Friendly,in Portugal,-8,8,1967,1657,0,0,6,49
180,May 28,2018,Nigeria,Democratic Republic of Congo,1,1,Friendly,in Nigeria,-6,6,1693,1589,0,1,43,66
181,May 28,2018,Mexico,Wales,0,0,Friendly,in the United States,-2,2,1857,1777,0,0,16,23
182,May 28,2018,Kenya,Equatorial Guinea,1,0,Friendly,in Kenya,6,-6,1367,1327,0,0,119,122
183,May 28,2018,Italy,Saudi Arabia,2,1,Friendly,in Switzerland,3,-3,1901,1597,0,0,12,63
184,May 28,2018,France,Ireland,2,0,Friendly,in France,3,-3,1987,1721,1,-2,4,38
185,May 28,2018,Bosnia and Herzegovina,Montenegro,0,0,Friendly,in Bosnia and Herzegovina,-6,6,1725,1617,-2,3,36,53
186,May 29,2018,Madagascar,Seychelles,1,1,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,-17,17,1359,968,-3,0,119,193
187,May 29,2018,Mozambique,Comoros,3,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,13,-13,1310,1028,2,-1,130,187
188,May 29,2018,Peru,Scotland,2,0,Friendly,in Peru,5,-5,1911,1713,1,-1,10,40
189,May 29,2018,Panama,Northern Ireland,0,0,Friendly,in Panama,-2,2,1667,1686,0,1,48,45
190,May 29,2018,Kosovo,Albania,3,0,Friendly,in Switzerland,26,-26,1431,1570,8,-3,98,68
191,May 29,2018,Azerbaijan,Kyrgyzstan,3,0,Friendly,in Azerbaijan,7,-7,1400,1237,2,-4,108,154
192,May 29,2018,Armenia,Malta,1,1,Friendly,in Austria,-6,6,1458,1208,-1,2,90,159
193,May 29,2018,Argentina,Haiti,4,0,Friendly,in Argentina,1,-1,1986,1494,0,0,5,84
194,May 30,2018,Botswana,Malawi,1,1,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,-1,1,1296,1279,0,0,133,139
195,May 30,2018,Angola,Mauritius,1,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,13,-13,1253,1094,3,-3,148,177
196,May 30,2018,Japan,Ghana,0,2,Friendly,in Japan,-22,22,1670,1639,-3,0,47,53
197,May 30,2018,Estonia,Lithuania,2,0,Baltic Cup,in Estonia,11,-11,1515,1401,3,-1,80,107
198,May 30,2018,Central African Republic,Uganda,1,0,Friendly tournament,in Niger,21,-21,1337,1436,4,-6,122,97
199,May 30,2018,Austria,Russia,1,0,Friendly,in Austria,6,-6,1732,1679,1,1,34,45
200,May 31,2018,Mozambique,Seychelles,2,1,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,5,-5,1315,963,1,0,129,193
201,May 31,2018,Madagascar,Comoros,1,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,5,-5,1364,1023,0,-1,119,188
202,May 31,2018,Slovakia,Netherlands,1,1,Friendly,in Slovakia,1,-1,1763,1906,0,0,26,11
203,May 31,2018,Romania,Chile,3,2,Friendly,in Austria,14,-14,1720,1860,3,0,39,15
204,May 31,2018,Morocco,Ukraine,0,0,Friendly,in Switzerland,1,-1,1712,1740,-1,1,42,31
205,May 31,2018,Luxembourg,Senegal,0,0,Friendly,in Luxembourg,7,-7,1333,1740,1,-3,123,31
206,June 1,2018,Botswana,Mauritius,6,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,20,-20,1316,1074,6,-4,127,181
207,June 1,2018,Angola,Malawi,0,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,1,-1,1254,1278,0,0,148,139
208,June 1,2018,Tunisia,Turkey,2,2,Friendly,in Switzerland,2,-2,1659,1727,0,-2,49,37
209,June 1,2018,South Korea,Bosnia and Herzegovina,1,3,Friendly,in South Korea,-20,20,1731,1745,-9,7,36,29
210,June 1,2018,India,Taiwan,5,0,Friendly tournament,in India,11,-11,1160,983,1,0,170,192
211,June 1,2018,Georgia,Malta,1,0,Friendly,in Austria,3,-3,1509,1205,1,-2,82,161
212,June 1,2018,France,Italy,3,1,Friendly,in France,8,-8,1995,1893,0,0,4,12
213,June 1,2018,Colombia,Egypt,0,0,Friendly,in Italy,-7,7,1928,1650,-1,2,9,50
214,June 1,2018,Australia,Czechia,4,0,Friendly,in Austria,19,-19,1733,1703,6,-5,34,42
215,June 1,2018,Algeria,Cape Verde,2,3,Friendly,in Algeria,-15,15,1509,1443,-6,4,82,96
216,June 2,2018,Namibia,Zambia,0,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,6,-6,1377,1464,1,-1,115,89
217,June 2,2018,Lesotho,Swatini,1,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,23,-23,1281,1292,6,-5,139,135
218,June 2,2018,Thailand,China,0,2,Friendly,in Thailand,-14,14,1383,1534,-4,4,113,72
219,June 2,2018,Sweden,Denmark,0,0,Friendly,in Sweden,-2,2,1794,1845,0,0,20,18
220,June 2,2018,Northern Cyprus,Tibet,3,1,World Football Cup,in England,1,-1,1456,630,0,0,93,227
221,June 2,2018,Niger,Uganda,2,1,Friendly tournament,in Niger,17,-17,1308,1419,4,-5,131,103
222,June 2,2018,Montenegro,Slovenia,0,2,Friendly,in Montenegro,-20,20,1597,1626,-7,2,61,55
223,June 2,2018,Mexico,Scotland,1,0,Friendly,in Mexico,4,-4,1861,1709,1,-1,15,41
224,June 2,2018,Latvia,Estonia,1,0,Baltic Cup,in Latvia,18,-18,1361,1497,1,-3,120,82
225,June 2,2018,Kenya,New Zealand,2,1,Friendly tournament,in India,21,-21,1388,1494,6,-4,112,83
226,June 2,2018,Ireland,United States,2,1,Friendly,in Ireland,8,-8,1729,1756,1,-1,37,26
227,June 2,2018,Iceland,Norway,2,3,Friendly,in Iceland,-17,17,1770,1632,-2,1,23,54
228,June 2,2018,England,Nigeria,2,1,Friendly,in England,2,-2,1943,1691,0,0,7,43
229,June 2,2018,El Salvador,Honduras,1,0,Friendly,in the United States,14,-14,1471,1590,4,-5,87,64
230,June 2,2018,Belgium,Portugal,0,0,Friendly,in Belgium,-2,2,1929,1969,0,0,8,6
231,June 2,2018,Austria,Germany,2,1,Friendly,in Austria,16,-16,1748,2076,8,0,27,2
232,June 3,2018,South Africa,Madagascar,0,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,-14,14,1543,1378,-1,4,70,115
233,June 3,2018,Botswana,Zimbabwe,1,1,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,7,-7,1323,1444,1,0,126,95
234,June 3,2018,Ukraine,Albania,4,1,Friendly,in France,10,-10,1750,1560,4,0,28,68
235,June 3,2018,Spain,Switzerland,1,1,Friendly,in Spain,-7,7,2042,1886,0,0,3,14
236,June 3,2018,Peru,Saudi Arabia,3,0,Friendly,in Switzerland,5,-5,1916,1592,0,-2,10,63
237,June 3,2018,Costa Rica,Northern Ireland,3,0,Friendly,in Costa Rica,10,-10,1755,1676,3,-1,27,45
238,June 3,2018,Brazil,Croatia,2,0,Friendly,in England,5,-5,2136,1848,0,0,1,17
239,June 3,2018,Barbados,Belize,0,0,Friendly,in Barbados,-2,2,1135,1170,0,0,173,169
240,June 3,2018,Andorra,Cape Verde,0,0,Friendly,in Portugal,8,-8,1034,1435,1,-1,186,97
241,June 4,2018,Morocco,Slovakia,2,1,Friendly,in Switzerland,11,-11,1723,1752,1,-2,39,27
242,June 4,2018,Italy,Netherlands,1,1,Friendly,in Italy,-2,2,1891,1908,0,0,12,11
243,June 4,2018,India,Kenya,3,0,Friendly tournament,in India,36,-36,1196,1352,6,-9,164,121
244,June 4,2018,Chile,Serbia,1,0,Friendly,in Austria,7,-7,1867,1763,1,-1,15,24
245,June 4,2018,Armenia,Moldova,0,0,Friendly,in Austria,-4,4,1454,1329,-3,1,94,124
246,June 5,2018,South Africa,Namibia,4,1,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,12,-12,1555,1365,1,-4,69,119
247,June 5,2018,Botswana,Swatini,2,0,"<a href=""2018_COSAFA_Cup"" onclick=""handleLink('2018_COSAFA_Cup'); return false;"">COSAFA Cup</a>",in South Africa,27,-27,1350,1265,4,-9,122,144
248,June 5,2018,Russia,Turkey,1,1,Friendly,in Russia,-1,1,1678,1728,0,0,44,38
249,June 5,2018,Romania,Finland,2,0,Friendly,in Romania,7,-7,1727,1597,1,-2,39,60
250,June 5,2018,New Zealand,Taiwan,1,0,Friendly tournament,in India,2,-2,1496,981,0,0,83,192
